business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,RestaurantsReservations,Open24Hours,RestaurantsGoodForGroups,BikeParking,Corkage,DogsAllowed,OutdoorSeating,HappyHour,HasTV,NoiseLevel,DietaryRestrictions,ByAppointmentOnly,Caters,GoodForMeal,BYOBCorkage,RestaurantsCounterService,RestaurantsTableService,WheelchairAccessible,RestaurantsTakeOut,BusinessAcceptsCreditCards,AcceptsInsurance,Ambience,RestaurantsPriceRange2,Alcohol,GoodForDancing,Smoking,BestNights,BusinessAcceptsBitcoin,GoodForKids,RestaurantsDelivery,RestaurantsAttire,DriveThru,BYOB,BusinessParking,CoatCheck,Music,WiFi,AgesAllowed
tstimHoMcYbkSC4eBA1wEg,Maria's Mexican Restaurant & Bakery,6055 E Lake Mead Blvd,Las Vegas,NV,89156,36.1956146,-115.0405289,4.5,184,1,"{'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'HappyHour': 'False', 'Alcohol': ""u'beer_and_wine'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'False', 'WiFi': ""u'no'"", 'RestaurantsAttire': ""u'casual'"", 'Caters': 'False', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""'average'"", 'HasTV': 'True', 'RestaurantsPriceRange2': '1'}","Mexican, Restaurants, Patisserie/Cake Shop, Food, Bars, Nightlife","{'Monday': '11:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-20:0'}",11:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-20:0,False,,True,True,,,False,False,True,'average',,,False,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",,,,,True,True,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",1,u'beer_and_wine',,,,,True,False,u'casual',,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,u'no',
sKhDrZFCJqfRNylkHrIDsQ,Starbucks,"1990 Village Center Circle, Suite 1",Las Vegas,NV,89134,36.191852,-115.304983,4.0,76,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'free'"", 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'Caters': 'False'}","Food, Coffee & Tea","{'Monday': '4:0-20:0', 'Tuesday': '4:0-20:0', 'Wednesday': '4:0-20:0', 'Thursday': '4:0-20:0', 'Friday': '4:0-19:30', 'Saturday': '4:30-19:0', 'Sunday': '4:0-20:0'}",4:0-20:0,4:0-20:0,4:0-20:0,4:0-20:0,4:0-19:30,4:30-19:0,4:0-20:0,,,,True,,,True,,,,,,False,,,,,,True,True,,,2,,,,,,,,,,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,u'free',
4n81G-pmC3rfhmaPsbwYKg,"Vince Neil's Tatuado | Eat, Drink, Party",360 E Tropicana Ave,Las Vegas,NV,89169,36.1020497898,-115.1562883,4.5,3,1,,"Bars, Sports Bars, Nightlife, Beer, Wine & Spirits, Restaurants, Food, American (Traditional)","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eY98EH_PHGnJVaJ7t2UpoQ,Pita Pit,1263 Silverado Ranch Blvd,Las Vegas,NV,89183,36.012764,-115.136056,4.0,77,0,"{'RestaurantsDelivery': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'False', 'WiFi': ""'no'"", 'Caters': 'True', 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""'average'"", 'Alcohol': ""u'none'"", 'ByAppointmentOnly': 'False', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsBitcoin': 'False', 'HasTV': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}""}","Middle Eastern, Restaurants, Vegetarian, Juice Bars & Smoothies, Ethnic Food, Salad, Food, Sandwiches, Specialty Food","{'Monday': '9:0-22:0', 'Tuesday': '9:0-22:0', 'Wednesday': '9:0-22:0', 'Thursday': '9:0-22:0', 'Friday': '9:0-22:0', 'Saturday': '9:0-22:0', 'Sunday': '9:0-22:0'}",9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,False,,True,False,,,False,,False,'average',,False,True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,,True,True,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",1,u'none',,,,False,True,True,u'casual',,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,'no',
iA9xu-6oOFynZQxO5qrauQ,DOC Holliday's Saloon,2551 Anthem Village Dr,Henderson,NV,89052,35.9798374,-115.099095,3.0,3,1,,"Nightlife, Restaurants, Bars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZ5KO1KNiwtrktKo5mpuLA,Empress Court,3570 Las Vegas Blvd,Las Vegas,NV,89109,36.1161559,-115.1750576,3.5,21,0,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'dressy'"", 'GoodForKids': 'True', 'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '3', 'HasTV': 'False', 'BikeParking': 'False', 'Alcohol': ""u'full_bar'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'OutdoorSeating': 'True', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'quiet'"", 'RestaurantsDelivery': 'False'}","Seafood, Chinese, Steakhouses, Restaurants, Italian",,,,,,,,,True,,True,False,,,True,,False,u'quiet',,,,,,,,,True,True,,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",3,u'full_bar',,,,,True,False,u'dressy',,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,,
9ttdN9MIS1j9c8Hp5TmZnw,Baja Fresh,2101 Texas Star Ln,North Las Vegas,NV,89032,36.1977963,-115.1918552,3.0,7,0,"{'NoiseLevel': ""u'loud'"", 'OutdoorSeating': 'False', 'BikeParking': 'False', 'Caters': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'WiFi': ""u'no'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'False', 'RestaurantsDelivery': 'False', 'HasTV': 'False'}","Restaurants, Mexican","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-21:0,False,,False,False,,,False,,False,u'loud',,,False,,,,,,True,True,,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",2,u'none',,,,,True,False,u'casual',,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,u'no',
H2Chxto2e6dHTDJ8-s3-pQ,Roberto's Taco Shop,2685 S Eastern Ave,Las Vegas,NV,89169,36.1410796647,-115.1193113918,3.0,64,1,"{'OutdoorSeating': 'False', 'WiFi': ""u'no'"", 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'none'"", 'Caters': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'HasTV': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': True}"", 'BYOBCorkage': ""'no'"", 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Mexican, Fast Food, Restaurants",,,,,,,,,False,,True,True,,,False,,False,u'average',,,True,"{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': True}",'no',,,,True,True,,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",1,u'none',,,,,True,False,'casual',,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,u'no',
yKpdzrqe_qIbu9dB6bj9Gg,PGA Tour Grill,5757 Wayne Newton Blvd,Las Vegas,NV,89119,36.0835550898,-115.1521726325,2.5,80,1,"{'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'GoodForKids': 'False', 'BikeParking': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True', 'RestaurantsAttire': ""'casual'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'HasTV': 'True', 'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'HappyHour': 'True', 'WiFi': ""'free'"", 'RestaurantsTableService': 'True', 'GoodForDancing': 'False'}","American (Traditional), Restaurants, Bars, Nightlife",,,,,,,,,False,,True,False,,,True,True,True,,,,,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,True,,True,True,,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",2,,False,,,,False,False,'casual',,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,'free',
iA4zWe_L1R4ruaEZ8N4KPA,Brooklyn Bagel,10604 S Eastern Ave,Henderson,NV,89052,35.9992533,-115.1040028,3.5,32,0,"{'GoodForKids': 'True', 'HasTV': 'True', 'WiFi': ""u'free'"", 'RestaurantsDelivery': 'True', 'Alcohol': ""u'none'"", 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'RestaurantsTakeOut': 'True'}","American (Traditional), Breakfast & Brunch, Restaurants","{'Monday': '6:0-15:0', 'Tuesday': '6:0-15:0', 'Wednesday': '6:0-15:0', 'Thursday': '6:0-15:0', 'Friday': '6:0-15:0', 'Saturday': '6:0-15:0', 'Sunday': '6:0-15:0'}",6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,False,,True,True,,,True,,True,u'average',,,True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': True}",,,,,True,True,,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",1,u'none',,,,,True,True,u'casual',,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,u'free',
